,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
41,Sat Jun 09 11:40:36 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,42
42,Sat Jun 09 11:39:41 +0000 2018,@BBC,0.3612,0.122,0.878,0.0,@EnglanderInOZ @MeltonBlue @BBC @jeremycorbyn Oh now I understand your point of view. We will just have to agree to… https://t.co/MVd6Sn7Wld,43
43,Sat Jun 09 11:38:52 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @GStarFreedom: @am_draper @Fenbeagle @mike8881 @Lin46222208 @Karenco30 @MrNobodeee @jenninemorgan @loriblue6 @ElContador2000 @SimonGosde…,44
44,Sat Jun 09 11:38:26 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",45
45,Sat Jun 09 11:38:00 +0000 2018,@BBC,-0.6249,0.0,0.661,0.339,RT @KaptanHindustan: The Venezuelan economic crisis via @BBC https://t.co/49xVE3VgWF,46
46,Sat Jun 09 11:36:36 +0000 2018,@BBC,0.8331,0.343,0.657,0.0,RT @GhioLena: Transdisciplinary Art at its best and reason to HOPE: https://t.co/F1zWA8Qruo @BBCScienceNews  @BBC @BBCWorld @BBCEarth @bbca…,47
47,Sat Jun 09 11:36:34 +0000 2018,@BBC,-0.6249,0.0,0.594,0.406,The Venezuelan economic crisis via @BBC https://t.co/49xVE3VgWF,48
48,Sat Jun 09 11:35:47 +0000 2018,@BBC,-0.743,0.0,0.722,0.278,"Alan Johnson was dreadful. No wonder he skittled off.
No wonder @BBC still bring him on to slag off Labour.
Its… https://t.co/qRUQNc4sRg",49
49,Sat Jun 09 11:35:43 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @Boxing_Bugle: @StepheninHerts @USSwaminathan5 @RealitySmash @shenoy70 @theresa_may @BBC @BBCWorld @BBCNews Do you actually know how man…,50
50,Sat Jun 09 11:35:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @RampartapD: #PranabAtRSSEvent
#KnowYourReligion
#पूर्णब्रह्म_कबीर
सभी सद्ग्रन्थ प्रमाण दे रहे की कबीर साहेब परमात्मा है जो जुलाहे के घर…",51
